"","Pop","Year","Sex","Cause","Age","Count"
"374","USA",2000,1,"S004",40,181.762975763804
"375","USA",2000,1,"S004",41,199.525511996739
"376","USA",2000,1,"S004",42,218.540962814488
"377","USA",2000,1,"S004",43,238.649161962077
"378","USA",2000,1,"S004",44,259.800056867577
"379","USA",2000,1,"S004",45,281.921907352539
"380","USA",2000,1,"S004",46,304.955376967889
"381","USA",2000,1,"S004",47,328.857385636838
"382","USA",2000,1,"S004",48,353.511357793401
"383","USA",2000,1,"S004",49,378.646153798702
"384","USA",2000,1,"S004",50,404.015153713901
"385","USA",2000,1,"S004",51,429.070480675977
"386","USA",2000,1,"S004",52,453.503148980587
"387","USA",2000,1,"S004",53,477.039347280589
"388","USA",2000,1,"S004",54,499.516992398638
"389","USA",2000,1,"S004",55,521.335873895804
"390","USA",2000,1,"S004",56,542.577982722935
"391","USA",2000,1,"S004",57,564.049101111807
"392","USA",2000,1,"S004",58,585.976951733854
"393","USA",2000,1,"S004",59,609.052406139744
"394","USA",2000,1,"S004",60,633.531894932326
"395","USA",2000,1,"S004",61,659.926364844792
"396","USA",2000,1,"S004",62,688.513394635479
"397","USA",2000,1,"S004",63,719.778282717608
"398","USA",2000,1,"S004",64,754.058069997364
"399","USA",2000,1,"S004",65,791.832642520341
"400","USA",2000,1,"S004",66,833.473562647242
"401","USA",2000,1,"S004",67,879.062363642102
"402","USA",2000,1,"S004",68,928.795141188477
"403","USA",2000,1,"S004",69,981.708456706303
"404","USA",2000,1,"S004",70,1037.43231404518
"405","USA",2000,1,"S004",71,1093.61088118742
"406","USA",2000,1,"S004",72,1149.02421384892
"407","USA",2000,1,"S004",73,1200.52288432808
"408","USA",2000,1,"S004",74,1246.28133211452
"409","USA",2000,1,"S004",75,1282.82740484642
"410","USA",2000,1,"S004",76,1308.2507290447
"411","USA",2000,1,"S004",77,1320.23641799409
"412","USA",2000,1,"S004",78,1317.82235818976
"413","USA",2000,1,"S004",79,1301.19918961802
"414","USA",2000,1,"S004",80,1270.98217238426
"415","USA",2000,1,"S004",81,1228.96062775003
"416","USA",2000,1,"S004",82,1176.66821084242
"417","USA",2000,1,"S004",83,1114.78835005918
"418","USA",2000,1,"S004",84,1044.70136754932
"419","USA",2000,1,"S004",85,966.408037897279
"420","USA",2000,1,"S004",86,881.526767555055
"421","USA",2000,1,"S004",87,791.19658473787
"422","USA",2000,1,"S004",88,697.909595897937
"423","USA",2000,1,"S004",89,604.082983742765
"424","USA",2000,1,"S004",90,512.603473018316
